address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated
Мячковский б-р 3а,435.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.657941,37.751574,1.0,Baila Baila,4.0,1487519142.0
Дачная 2а,14.0,123.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,53.202017,50.141377,2.0,Lust,4.0,1483478197.0
Лени Голикова 29,8.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.843376,30.23148,3.0,Тайфун,4.0,1486398333.0
Героев Танкограда 63,8.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.174954,61.451611,4.0,Hollywood,4.0,1470157376.0
Мусы Джалиля 14К1,38.0,99.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.860834,83.091932,5.0,Барабас,4.0,1488719884.0
Мусы Джалиля 14,6.0,99.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.861114,83.091415,6.0,Опера,4.0,1471622459.0
Труда 153,15.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.166948,61.395017,7.0,Малахит,4.0,1470755251.0
Сони Кривой 81,3.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.157006,61.365395,8.0,Полет,4.0,1455942973.0
просп. Ленина 66а,161.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.160365,61.380302,9.0,Уральские пельмени,4.0,1488790394.0
Гурьянова 31,13.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.684858,37.7183,10.0,Salvador Dali,4.0,1445916103.0
Энгельса 1К1,1.0,99.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.871906,83.106557,11.0,Четыре комнаты,4.0,1485185205.0
Железноводская 68,3.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.949213,30.234373,12.0,Занзибар,4.0,1464970951.0
ул.Красная 24,2.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.960462,30.286592,13.0,Проект,4.0,1424342052.0
Полтавская 7,3.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.92672,30.368536,14.0,La,4.0,1443370445.0
2-я Брестская 6,5.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.770968,37.591562,15.0,Моспроект,4.0,1444136906.0
2-ая Боровая 11б,4.0,10.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,48.721596,44.535346,16.0,Зажигалка,4.0,1487744022.0
Мира 23,2.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.840941,60.652137,17.0,Центр мира,4.0,1484292974.0
Московский проспект 20,6.0,99.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.029394,82.933293,18.0,The Past Pavilion,4.0,1408181395.0
Ланское ш. 15,20.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.991147,30.307604,19.0,Вертеп Карабаса Барабаса,4.0,1483213887.0
Лубянский пр. 25К1,0.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.757116,37.63146,20.0,Дом Кукера,4.0,1344699423.0
Литейный пр. ,8.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.151862,61.304467,21.0,Летняя веранда Geometria,4.0,1400922818.0
Новослободская 26,2.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.783104,37.598025,22.0,Хроника-бар,4.0,1398172658.0
Черноморская 37а,0.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.030744,39.107527,23.0,Какаду,4.0,1432388193.0
ская 208,0.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.676783,37.762449,24.0,СУ-27,4.0,1449301456.0
Богданова 138,5.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.020991,39.000241,25.0,Кокос,4.0,1450843425.0
Северная 620,6.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.039534,38.979894,26.0,Распутин,4.0,1347860252.0
Мира 1б,1.0,151.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.813967,56.059096,27.0,Goldy,4.0,1480202182.0
1-я Останкинская 23,4.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.82439,37.622387,28.0,Club 23,4.0,1478494262.0
Ленина 119,1.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.839774,60.615122,29.0,Камелот,4.0,1375732133.0
ул. 8 Марта 13,5.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.83615,60.600448,30.0,Down Town,4.0,1348161178.0
Кирова 113К2,5.0,99.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.013007,82.954521,31.0,Небо,4.0,1485262239.0
Щелковское ш. 5,3.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.80402,37.755266,32.0,Каста,4.0,1476629730.0
